count,name,nif,address,cp,color,phone,ssn,count_bank
Imelda Rodrigo 14 Piso 8 
Zamora, 30008","cp: 22127","#aa5bcc","+34 739449691","436-63-7917","count_bank: ES9511192212944974794735"
"2","Isidora Agudo Antúnez","X5007662X","Cuesta Fernando Cuéllar 54
Huesca, 34365","cp: 95363","#0eb51f","+34679 09 61 70","888-16-3744","count_bank: ES4589186517005501657487"
"3","Graciano de Marín","X0258367P","Rambla Eustaquio Bustos 24 Piso 5 
Salamanca, 28932","cp: 89486","#d5a3f7","+34 713 083 679","229-05-7959","count_bank: ES3319761841543403945518"
"4","Jacinta Paola Catalá Bravo","X3274938Z","Urbanización Odalis Casanovas 528 Puerta 5 
Madrid, 05739","cp: 95526","#efdd81","+34 722374230","743-86-3275","count_bank: ES5799759926903475007434"
"5","Dulce Manuela Llopis Company","X2889061P","Vial Rómulo Saldaña 610
Cáceres, 75085","cp: 95622","#adffbf","+34 698642490","553-86-0401","count_bank: ES3893356973527209493074"
"6","Basilio Domingo Castro Cañete","D18207779","Vial Patricio Ponce 23 Puerta 2 
Tarragona, 03842","cp: 56786","#ede784","+34743 238 339","546-92-3194","count_bank: ES9610903403547470269177"
"7","Rocío del Cañas","D62646781","Avenida de Porfirio Clemente 79 Puerta 9 
Cuenca, 62422","cp: 96932","#5cf9f7","+34711298568","647-60-8299","count_bank: ES3076292399807891686557"
"8","Paola Piña","F9738213I","Acceso de Jorge Molins 59 Apt. 59 
Navarra, 06632","cp: 13329","#ba6e2c","+34900 809 978","469-08-5517","count_bank: ES6704437509069609314310"
"9","Tamara Seco Bueno","25270387B","Callejón Heriberto Torre 806
Teruel, 40127","cp: 18570","#bef6f7","+34 920492242","922-49-5760","count_bank: ES9840686021278534304791"
"10","Remigio Pardo","Z5412639P","Cuesta Jesús Coronado 60
Granada, 62078","cp: 24683","#4104db","+34622962491","581-98-8991","count_bank: ES9341244682047582084693"
